subject,test_acc,model
1,0.8298611111111112,UnifiedEEGNet
2,0.625,UnifiedEEGNet
3,0.8923611111111112,UnifiedEEGNet
4,0.7604166666666666,UnifiedEEGNet
5,0.6701388888888888,UnifiedEEGNet
6,0.6041666666666666,UnifiedEEGNet
7,0.8229166666666666,UnifiedEEGNet
8,0.8576388888888888,UnifiedEEGNet
9,0.8680555555555556,UnifiedEEGNet
