subject,test_acc
1,0.9310344827586207
2,0.7241379310344828
3,0.9655172413793104
4,0.8103448275862069
5,0.5689655172413793
6,0.6551724137931034
7,0.9655172413793104
8,0.9137931034482759
9,0.8448275862068966
