subject,test_acc,model
1,0.7055555555555556,UnifiedEEGNet
2,0.6720588235294118,UnifiedEEGNet
3,0.6,UnifiedEEGNet
4,0.8432432432432433,UnifiedEEGNet
5,0.8445945945945946,UnifiedEEGNet
6,0.85,UnifiedEEGNet
7,0.825,UnifiedEEGNet
8,0.781578947368421,UnifiedEEGNet
9,0.7680555555555556,UnifiedEEGNet
